"item_id (N)","description (S)","name (S)","price (N)","rating (N)","stock_left (N)"
"1000","Our thinnest, lightest Kindle Paperwhite yet, with a sleek, modern design so you can read comfortably for hours. Features our signature 300 ppi, glare-free Paperwhite display, laser-quality text, and twice the storage of the previous generation. Plus a single battery charge lasts weeks, not hours","Kindle Paperwhite","123","3","1"
"1001","Our most popular Echo is now even better. With a new speaker and design, Echo Dot is a voice-controlled smart speaker with Alexa, perfect for any room. Just ask for music, news, information, and more. You can also call almost anyone and control compatible smart home devices with your voice","Echo Dot (3rd Gen)","50","3","1"
"1002","Now you can control your compatible TV, soundbar, and receiver with new power, volume, and mute buttons. Just press and ask to easily find, launch, and control movies and TV shows","Fire TV Stick 4K","123","3","1"
"1003","The all-new Echo Show features a new look, a vibrant 10.1"" HD screen, built-in smart home hub, and improved speakers. Just ask Alexa to show you a recipe, watch live TV and sports with Hulu, make video calls, or see whos at the front door.","Echo Show (2nd Gen)","123","3","1"
"1004","Echo Spot brings you everything you love about Alexa, in a stylish and compact design that can show you things. Just ask to see the weather, get the news with a video flash briefing, set an alarm, see lyrics with Amazon Music, see your calendar, browse and listen to Audible audiobooks, and more. Personalize your Spot with a collection of clock faces to suit your style or set a photo background from Prime Photos. Plus, make calls to friends and family or make video calls to anyone with an Echo Spot, Echo Show, or the Alexa App","Echo Spot","123","3","1"
"1005","Introducing a hands-free, voice-controlled speaker with Alexa, designed with kids in mind. Echo Dot Kids Edition can play age-appropriate music, answer questions, tell stories, control compatible smart home devices, and more. Includes a black Echo Dot, a 1-year subscription to FreeTime Unlimited, a fun kid-friendly case, and a 2-year worry-free guarantee. If they break it, return it and we will replace it for free","Echo Dot Kids Edition","123","3","1"
"1006","Fire 7 features a 1024 x 600 IPS display with 171 ppi for a bright display with vivid colors and whiter whites for a great viewing experience from all angles. Compared to the previous generation, Fire 7 features an improved display that provides higher contrast and sharper text","Fire 7 Tablet with Alexa","123","3","1"
"1007","No more soggy pages with the Kindle Oasis its IPX8 rated to protect against immersion in up to two meters of fresh water for up to 60 minutes. And it is built to withstand getting splashed at the beach or dropped in the bathtub, hot tub, or pool. ","Kindle Oasis E-reader - Graphite","123","3","1"
"1008","Fire HD 10 features a brilliant 10.1 1080p Full HD display (1920 x 1200) with over 2 million pixels (224 ppi). Enjoy widescreen movies, videos, and games with wide viewing angles, less glare, and more brightness thanks to a stunning IPS (in-plane-switching) LCD display","Fire HD 10 Tablet with Alexa Hands-Free","123","3","1"
"1009","Amazon FreeTime Unlimited is the first-ever all-in-one subscription that brings together all the types of content that kids ages 3-12 want, with over 15,000 books, movies, TV shows, educational apps, and games. Fire Kids Edition includes a year of Amazon FreeTime Unlimited at no additional cost","Fire 7 Kids Edition Tablet","123","3","1"
"1010","Fire TV Cube is the first hands-free streaming media player with Alexa, delivering an all-in-one entertainment experience. From across the room just say, Alexa, play Billions and Fire TV Cube turns on your TV and starts playing the SHOWTIME drama, allowing you to control your entertainment with voice commands. Watch as thousands of movies and TV episodes come to life with vibrant colors and detailed contrast in 4K Ultra HD and HDR","Fire TV Cube","123","3","1"
"1011","Just plug Fire TV Stick into your HDTV and start streaming in minutes. With the Alexa Voice Remote, press and ask to easily find your favorite movies and TV episodes, plus live news and sports. All-new power and volume buttons give you more control","Fire TV Stick","123","3","1"
"1012","Fire TV Recast is a DVR that lets you watch and record over-the-air TV at home or on-the-go with no monthly fees","Fire TV Recast","123","3","1"
"1013","Slow or weak Wi-Fi connection? Take advantage of the speed and reliability of wired internet","Amazon Ethernet Adapter for Amazon Fire TV Devices","123","3","1"
"1014","Amazon Cloud Cam features everything you need to help keep your home safe. When Cloud Cam sees any activity you will receive a notification, allowing you to keep tabs on your home from anywhere. Our always-ready motion detection feature helps to capture activities right from the start","Amazon Cloud Cam Security Camera","123","3","1"
"1015","Amazon.com Gift Card in a Black Gift Box","Amazon.com Gift Card in a Black Gift Box","123","3","1"
